filename,error_message
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150752.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633290.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1031031.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222552.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222546.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1938326.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222547.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633291.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150753.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1150751.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633287.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1031032.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1938324.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1938325.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1222550.cif,Different elements found in atom site and label
/Users/imac/Documents/GitHub/cif-filter-copy/RMX_CIFs_error_label/1633286.cif,Different elements found in atom site and label
