CIF file,Number of atoms in supercell,Min distance,Processing time (s)
1234937.cif,323,N/A,0.002
1008092.cif,199,N/A,0.002
1121372.cif,206,N/A,0.002
1822005.cif,212,N/A,0.002
1400639.cif,222,N/A,0.002
1210117.cif,263,N/A,0.002
300354.cif,212,N/A,0.002
1200310.cif,464,N/A,0.002
1008938.cif,212,N/A,0.002
1731448.cif,180,N/A,0.001
1825018.cif,296,N/A,0.002
1121366.cif,206,N/A,0.002
1008086.cif,199,N/A,0.002
301738.cif,296,N/A,0.002
1818206.cif,296,N/A,0.002
460764.cif,261,N/A,0.002
1006134.cif,212,N/A,0.001
1944579.cif,228,N/A,0.001
1225999.cif,228,N/A,0.001
1948343.cif,296,N/A,0.002
1803626.cif,212,N/A,0.002
560770.cif,233,N/A,0.002
1223456.cif,228,N/A,0.001
1227630.cif,160,N/A,0.002
1615313.cif,296,N/A,0.002
459683.cif,212,N/A,0.002
1430103.cif,228,N/A,0.001
1042004.cif,261,N/A,0.002
1803632.cif,212,N/A,0.001
1320639.cif,212,N/A,0.002
539611.cif,296,N/A,0.002
1833929.cif,160,N/A,0.001
1818212.cif,414,N/A,0.002
1245089.cif,212,N/A,0.002
1232201.cif,464,N/A,0.002
1612326.cif,385,N/A,0.002
1007216.cif,448,N/A,0.002
460758.cif,261,N/A,0.002
1810100.cif,316,N/A,0.001
1013505.cif,332,N/A,0.002
1245937.cif,160,N/A,0.001
537600.cif,212,N/A,0.001
1008657.cif,266,N/A,0.002
1538211.cif,215,N/A,0.002
461452.cif,326,N/A,0.002
302386.cif,212,N/A,0.002
535942.cif,296,N/A,0.002
459640.cif,212,N/A,0.001
1008864.cif,180,N/A,0.001
1825144.cif,175,N/A,0.002
1621075.cif,212,N/A,0.001
1222947.cif,331,N/A,0.002
559126.cif,212,N/A,0.002
1024342.cif,228,N/A,0.001
1211355.cif,183,N/A,0.002
1040808.cif,419,N/A,0.003
382579.cif,212,N/A,0.002
535956.cif,296,N/A,0.002
1824528.cif,356,N/A,0.002
300546.cif,272,N/A,0.001
1042789.cif,304,N/A,0.002
1611834.cif,272,N/A,0.001
1411126.cif,228,N/A,0.001
1233862.cif,448,N/A,0.003
1008680.cif,370,N/A,0.002
1200270.cif,300,N/A,0.002
1612497.cif,253,N/A,0.001
1411132.cif,228,N/A,0.001
1950281.cif,212,N/A,0.001
1415432.cif,268,N/A,0.001
300552.cif,272,N/A,0.001
1614958.cif,206,N/A,0.002
458947.cif,228,N/A,0.001
1010232.cif,212,N/A,0.002
1007996.cif,284,N/A,0.002
1128961.cif,323,N/A,0.002
1935182.cif,212,N/A,0.002
1925391.cif,413,N/A,0.002
300963.cif,212,N/A,0.001
1221725.cif,323,N/A,0.002
1953213.cif,206,N/A,0.002
1606179.cif,233,N/A,0.002
1252907.cif,414,N/A,0.003
1434167.cif,296,N/A,0.002
