CIF file,Number of atoms in supercell,Min distance,Processing time (s)
302080.cif,212,N/A,0.002
1148161.cif,332,N/A,0.005
1148607.cif,180,N/A,0.003
1804267.cif,228,N/A,0.002
538635.cif,316,N/A,0.002
535311.cif,228,N/A,0.002
1226614.cif,228,N/A,0.002
461026.cif,466,N/A,0.005
1048161.cif,128,N/A,0.003
535305.cif,228,N/A,0.008
1832919.cif,228,N/A,0.002
312287.cif,316,N/A,0.003
1702541.cif,233,N/A,0.003
1611529.cif,183,N/A,0.002
1531127.cif,180,N/A,0.003
300683.cif,212,N/A,0.002
1944643.cif,212,N/A,0.002
1612039.cif,272,N/A,0.002
1818125.cif,323,N/A,0.003
1010475.cif,206,N/A,0.002
1042455.cif,180,N/A,0.002
535308.cif,228,N/A,0.001
1233572.cif,228,N/A,0.001
302099.cif,323,N/A,0.002
548485.cif,212,N/A,0.001
1232122.cif,233,N/A,0.001
1606070.cif,456,N/A,0.002
1008206.cif,326,N/A,0.003
535320.cif,228,N/A,0.002
1804256.cif,152,N/A,0.001
538604.cif,228,N/A,0.001
1013626.cif,482,N/A,0.003
1013632.cif,212,N/A,0.002
535334.cif,316,N/A,0.002
1729093.cif,266,N/A,0.002
1433073.cif,160,N/A,0.002
1718528.cif,206,N/A,0.002
548491.cif,212,N/A,0.002
1410641.cif,228,N/A,0.001
1022362.cif,233,N/A,0.002
300659.cif,385,N/A,0.002
1729078.cif,440,N/A,0.002
1013801.cif,212,N/A,0.002
538823.cif,212,N/A,0.001
1941087.cif,183,N/A,0.001
1623555.cif,496,N/A,0.003
1011964.cif,333,N/A,0.003
1627055.cif,253,N/A,0.002
1634767.cif,495,N/A,0.002
300665.cif,385,N/A,0.002
312261.cif,228,N/A,0.001
1212557.cif,206,N/A,0.002
1910592.cif,228,N/A,0.001
458899.cif,150,N/A,0.001
1923158.cif,402,N/A,0.002
1931548.cif,296,N/A,0.002
536826.cif,206,N/A,0.002
1722105.cif,206,N/A,0.002
1234584.cif,228,N/A,0.001
300671.cif,212,N/A,0.001
1248659.cif,228,N/A,0.001
1000302.cif,272,N/A,0.001
1010111.cif,180,N/A,0.001
1227711.cif,261,N/A,0.002
1237264.cif,142,N/A,0.001
1228344.cif,212,N/A,0.002
460645.cif,175,N/A,0.002
535678.cif,212,N/A,0.002
1323563.cif,466,N/A,0.004
301786.cif,178,N/A,0.001
1642418.cif,175,N/A,0.002
460651.cif,212,N/A,0.001
1228350.cif,212,N/A,0.002
301792.cif,178,N/A,0.001
460889.cif,296,N/A,0.002
312088.cif,316,N/A,0.002
1147049.cif,296,N/A,0.002
1010105.cif,180,N/A,0.001
1227705.cif,206,N/A,0.002
1234037.cif,332,N/A,0.002
1901886.cif,316,N/A,0.002
1637911.cif,180,N/A,0.001
1006997.cif,394,N/A,0.002
535644.cif,466,N/A,0.004
1008004.cif,284,N/A,0.002
548687.cif,212,N/A,0.002
537047.cif,183,N/A,0.001
548693.cif,212,N/A,0.001
1147075.cif,456,N/A,0.002
1431466.cif,206,N/A,0.001
535650.cif,466,N/A,0.004
1007323.cif,183,N/A,0.002
1010139.cif,332,N/A,0.003
1725440.cif,466,N/A,0.004
559013.cif,296,N/A,0.002
1245631.cif,436,N/A,0.003
1001961.cif,228,N/A,0.001
535863.cif,296,N/A,0.002
1835510.cif,253,N/A,0.001
1729508.cif,212,N/A,0.002
1965441.cif,464,N/A,0.002
535877.cif,296,N/A,0.002
1925065.cif,333,N/A,0.002
1728616.cif,253,N/A,0.002
1031108.cif,228,N/A,0.001
1245625.cif,436,N/A,0.002
1819978.cif,267,N/A,0.002
1640582.cif,272,N/A,0.002
548644.cif,212,N/A,0.002
1937449.cif,414,N/A,0.002
1242610.cif,212,N/A,0.001
1128471.cif,445,N/A,0.002
1013395.cif,300,N/A,0.002
380273.cif,212,N/A,0.002
1503365.cif,456,N/A,0.002
1929105.cif,228,N/A,0.001
459749.cif,206,N/A,0.002
1228556.cif,175,N/A,0.002
1410292.cif,228,N/A,0.001
1008158.cif,272,N/A,0.001
535718.cif,228,N/A,0.001
1233604.cif,296,N/A,0.002
1010071.cif,206,N/A,0.002
1041558.cif,222,N/A,0.002
301180.cif,199,N/A,0.002
1702174.cif,483,N/A,0.003
560719.cif,212,N/A,0.002
1531512.cif,212,N/A,0.002
1041570.cif,194,N/A,0.002
1217942.cif,160,N/A,0.001
1964818.cif,440,N/A,0.002
1005454.cif,356,N/A,0.002
1004986.cif,350,N/A,0.002
1234631.cif,212,N/A,0.001
1921388.cif,316,N/A,0.001
1008164.cif,212,N/A,0.001
1831831.cif,317,N/A,0.002
2041752.cif,464,N/A,0.002
1953078.cif,228,N/A,0.001
1041564.cif,194,N/A,0.002
539678.cif,180,N/A,0.001
1608459.cif,206,N/A,0.002
559167.cif,228,N/A,0.001
552032.cif,212,N/A,0.002
1602821.cif,296,N/A,0.002
1236973.cif,265,N/A,0.002
459173.cif,296,N/A,0.002
1921377.cif,261,N/A,0.002
1004979.cif,206,N/A,0.002
1926418.cif,206,N/A,0.001
379946.cif,332,N/A,0.002
535903.cif,296,N/A,0.002
459167.cif,296,N/A,0.002
552026.cif,212,N/A,0.001
1615391.cif,212,N/A,0.002
1602835.cif,402,N/A,0.002
1219984.cif,296,N/A,0.002
559173.cif,206,N/A,0.002
1810196.cif,206,N/A,0.002
1227842.cif,212,N/A,0.001
1000289.cif,272,N/A,0.001
1011384.cif,189,N/A,0.001
1802592.cif,296,N/A,0.002
1013593.cif,206,N/A,0.001
1804685.cif,296,N/A,0.002
548730.cif,440,N/A,0.002
1005497.cif,370,N/A,0.002
1605814.cif,180,N/A,0.001
1405660.cif,333,N/A,0.002
1048583.cif,332,N/A,0.002
1231952.cif,206,N/A,0.002
1007294.cif,296,N/A,0.002
1824541.cif,212,N/A,0.001
548724.cif,212,N/A,0.001
1005483.cif,386,N/A,0.002
1224387.cif,129,N/A,0.001
1803840.cif,456,N/A,0.002
1824227.cif,296,N/A,0.002
1607971.cif,228,N/A,0.001
1013587.cif,206,N/A,0.001
1227301.cif,456,N/A,0.002
1611444.cif,394,N/A,0.002
537319.cif,228,N/A,0.002
551922.cif,233,N/A,0.002
1803471.cif,233,N/A,0.002
1721593.cif,284,N/A,0.002
535268.cif,228,N/A,0.002
1717021.cif,212,N/A,0.002
1611336.cif,270,N/A,0.003
1725087.cif,219,N/A,0.011
1803303.cif,300,N/A,0.003
314957.cif,212,N/A,0.002
536013.cif,180,N/A,0.002
1522744.cif,414,N/A,0.003
1406180.cif,212,N/A,0.003
1241090.cif,300,N/A,0.003
1000706.cif,334,N/A,0.003
537325.cif,142,N/A,0.002
1612171.cif,212,N/A,0.002
1142509.cif,175,N/A,0.003
554866.cif,212,N/A,0.002
1816726.cif,343,N/A,0.002
535254.cif,228,N/A,0.001
1324620.cif,296,N/A,0.002
1941118.cif,175,N/A,0.002
1013746.cif,212,N/A,0.002
535240.cif,175,N/A,0.002
535526.cif,160,N/A,0.002
1008366.cif,210,N/A,0.001
1120398.cif,300,N/A,0.002
1814870.cif,228,N/A,0.002
1406157.cif,212,N/A,0.002
459371.cif,212,N/A,0.002
1405338.cif,456,N/A,0.003
309709.cif,210,N/A,0.002
313989.cif,212,N/A,0.002
1722059.cif,266,N/A,0.003
1926168.cif,228,N/A,0.002
1946688.cif,183,N/A,0.002
1731031.cif,206,N/A,0.002
459365.cif,212,N/A,0.003
1406143.cif,212,N/A,0.002
1907824.cif,420,N/A,0.003
537480.cif,332,N/A,0.003
1407513.cif,316,N/A,0.002
1214052.cif,228,N/A,0.002
535297.cif,228,N/A,0.002
535283.cif,228,N/A,0.002
1645798.cif,326,N/A,0.002
309721.cif,228,N/A,0.003
1240417.cif,206,N/A,0.002
1920531.cif,160,N/A,0.002
1214046.cif,228,N/A,0.005
1907830.cif,326,N/A,0.006
1214720.cif,212,N/A,0.002
459359.cif,212,N/A,0.003
555211.cif,228,N/A,0.004
1230696.cif,266,N/A,0.008
1214047.cif,228,N/A,0.003
1321956.cif,356,N/A,0.004
1920530.cif,160,N/A,0.004
1240416.cif,206,N/A,0.003
309720.cif,394,N/A,0.003
1645799.cif,326,N/A,0.003
535282.cif,228,N/A,0.002
1635518.cif,426,N/A,0.004
459358.cif,212,N/A,0.002
1907831.cif,326,N/A,0.005
1824756.cif,323,N/A,0.004
1907825.cif,420,N/A,0.003
1826627.cif,267,N/A,0.003
535296.cif,228,N/A,0.002
1715810.cif,350,N/A,0.002
537481.cif,332,N/A,0.002
1955193.cif,332,N/A,0.003
459364.cif,212,N/A,0.002
459370.cif,212,N/A,0.002
1350639.cif,222,N/A,0.002
1406156.cif,212,N/A,0.002
1814871.cif,228,N/A,0.002
538956.cif,206,N/A,0.002
1722058.cif,266,N/A,0.002
309708.cif,199,N/A,0.002
1405339.cif,456,N/A,0.002
535241.cif,175,N/A,0.002
1433660.cif,448,N/A,0.002
1716316.cif,483,N/A,0.003
1232725.cif,332,N/A,0.003
1013747.cif,332,N/A,0.003
1234354.cif,450,N/A,0.003
1120399.cif,300,N/A,0.002
535527.cif,160,N/A,0.001
537324.cif,142,N/A,0.001
1802752.cif,212,N/A,0.002
535255.cif,228,N/A,0.002
1611337.cif,183,N/A,0.002
1522023.cif,296,N/A,0.002
1241091.cif,300,N/A,0.002
1406181.cif,212,N/A,0.001
1803302.cif,300,N/A,0.002
314956.cif,212,N/A,0.002
1725086.cif,219,N/A,0.002
537318.cif,333,N/A,0.002
1611445.cif,253,N/A,0.002
1727685.cif,206,N/A,0.002
1241085.cif,272,N/A,0.002
1227300.cif,456,N/A,0.002
1717020.cif,212,N/A,0.002
535269.cif,228,N/A,0.001
1226778.cif,228,N/A,0.001
1803470.cif,233,N/A,0.001
1005482.cif,228,N/A,0.001
548725.cif,212,N/A,0.002
1939505.cif,175,N/A,0.002
1824540.cif,212,N/A,0.002
1007295.cif,296,N/A,0.002
382511.cif,210,N/A,0.002
1238977.cif,212,N/A,0.002
312664.cif,180,N/A,0.002
1824226.cif,450,N/A,0.003
1234195.cif,382,N/A,0.002
1825138.cif,267,N/A,0.002
303769.cif,180,N/A,0.001
381018.cif,206,N/A,0.002
548057.cif,296,N/A,0.002
1011385.cif,189,N/A,0.002
1000288.cif,272,N/A,0.001
1810197.cif,206,N/A,0.002
1405661.cif,333,N/A,0.002
1005496.cif,253,N/A,0.001
548731.cif,440,N/A,0.002
1232296.cif,175,N/A,0.002
535902.cif,296,N/A,0.002
1921376.cif,175,N/A,0.002
1004978.cif,206,N/A,0.002
559172.cif,228,N/A,0.001
1219985.cif,296,N/A,0.002
1602834.cif,402,N/A,0.002
552027.cif,212,N/A,0.001
1536283.cif,268,N/A,0.001
1602820.cif,296,N/A,0.002
1217764.cif,206,N/A,0.002
552033.cif,212,N/A,0.002
559166.cif,228,N/A,0.001
1406354.cif,152,N/A,0.001
459172.cif,296,N/A,0.002
1231990.cif,212,N/A,0.002
1932493.cif,267,N/A,0.002
1831830.cif,317,N/A,0.002
1802222.cif,212,N/A,0.002
1921389.cif,316,N/A,0.002
1608458.cif,183,N/A,0.002
539679.cif,212,N/A,0.002
1041565.cif,194,N/A,0.002
1217943.cif,160,N/A,0.002
1041571.cif,194,N/A,0.002
1531513.cif,212,N/A,0.001
560718.cif,212,N/A,0.001
1320645.cif,160,N/A,0.001
1702175.cif,483,N/A,0.003
1005455.cif,326,N/A,0.003
1011420.cif,426,N/A,0.002
1007242.cif,206,N/A,0.001
1810632.cif,448,N/A,0.002
535719.cif,228,N/A,0.001
301181.cif,199,N/A,0.002
1041559.cif,222,N/A,0.002
1607757.cif,414,N/A,0.002
1233605.cif,296,N/A,0.002
1013579.cif,206,N/A,0.001
302488.cif,175,N/A,0.002
1233611.cif,466,N/A,0.004
1410293.cif,228,N/A,0.001
1430143.cif,206,N/A,0.002
1228557.cif,180,N/A,0.001
1231760.cif,180,N/A,0.001
1013394.cif,300,N/A,0.002
1407116.cif,344,N/A,0.003
1128470.cif,456,N/A,0.003
1245618.cif,206,N/A,0.002
1014389.cif,180,N/A,0.001
1640583.cif,272,N/A,0.001
1804096.cif,180,N/A,0.001
1819979.cif,297,N/A,0.002
1937448.cif,414,N/A,0.002
548645.cif,212,N/A,0.002
1965440.cif,206,N/A,0.001
535876.cif,296,N/A,0.002
1729509.cif,212,N/A,0.002
1406234.cif,284,N/A,0.002
1245624.cif,436,N/A,0.002
1031109.cif,228,N/A,0.001
1727242.cif,293,N/A,0.002
1008944.cif,323,N/A,0.002
1245630.cif,436,N/A,0.002
559012.cif,296,N/A,0.002
1147921.cif,175,N/A,0.002
1725441.cif,466,N/A,0.004
535862.cif,296,N/A,0.002
1614850.cif,284,N/A,0.002
1001960.cif,206,N/A,0.002
1007322.cif,183,N/A,0.001
535651.cif,466,N/A,0.003
1431467.cif,448,N/A,0.002
548692.cif,212,N/A,0.002
1013431.cif,233,N/A,0.002
1010138.cif,212,N/A,0.002
1612560.cif,228,N/A,0.002
1637910.cif,180,N/A,0.002
1013425.cif,233,N/A,0.002
1234036.cif,284,N/A,0.002
1008005.cif,284,N/A,0.002
535645.cif,466,N/A,0.004
1944465.cif,212,N/A,0.002
312089.cif,316,N/A,0.001
460888.cif,296,N/A,0.002
301793.cif,178,N/A,0.001
1228351.cif,212,N/A,0.002
460650.cif,212,N/A,0.002
1227704.cif,228,N/A,0.001
1010104.cif,180,N/A,0.001
1227710.cif,261,N/A,0.002
1010110.cif,180,N/A,0.001
1000303.cif,272,N/A,0.001
301787.cif,178,N/A,0.001
1731391.cif,90,N/A,0.002
1323562.cif,466,N/A,0.004
535679.cif,212,N/A,0.001
460644.cif,175,N/A,0.002
1228345.cif,212,N/A,0.001
539043.cif,228,N/A,0.001
1722104.cif,206,N/A,0.002
1931549.cif,414,N/A,0.002
300670.cif,212,N/A,0.002
1234585.cif,175,N/A,0.002
557567.cif,228,N/A,0.001
1634766.cif,495,N/A,0.003
458898.cif,150,N/A,0.002
1923159.cif,160,N/A,0.002
1910593.cif,206,N/A,0.003
1212556.cif,498,N/A,0.004
1241640.cif,212,N/A,0.003
1623554.cif,496,N/A,0.006
1818695.cif,211,N/A,0.003
1011965.cif,466,N/A,0.007
300658.cif,385,N/A,0.003
1627040.cif,296,N/A,0.002
1022363.cif,233,N/A,0.004
1340238.cif,296,N/A,0.004
1013800.cif,212,N/A,0.009
1729079.cif,296,N/A,0.007
1729092.cif,266,N/A,0.007
1709342.cif,228,N/A,0.003
535335.cif,316,N/A,0.003
1048151.cif,473,N/A,0.004
1646327.cif,370,N/A,0.003
1013633.cif,212,N/A,0.002
537244.cif,332,N/A,0.003
548490.cif,212,N/A,0.002
1718529.cif,206,N/A,0.002
1000897.cif,483,N/A,0.003
1433072.cif,160,N/A,0.002
1643539.cif,228,N/A,0.001
1008207.cif,228,N/A,0.001
1232123.cif,233,N/A,0.002
548484.cif,212,N/A,0.001
538605.cif,228,N/A,0.001
1013627.cif,482,N/A,0.003
1406963.cif,482,N/A,0.003
1804257.cif,152,N/A,0.001
535321.cif,228,N/A,0.001
1233573.cif,228,N/A,0.001
1008549.cif,383,N/A,0.003
535309.cif,228,N/A,0.001
1010474.cif,206,N/A,0.002
1612038.cif,326,N/A,0.003
1234578.cif,128,N/A,0.001
1243928.cif,431,N/A,0.002
312289.cif,316,N/A,0.001
555399.cif,233,N/A,0.001
1642619.cif,236,N/A,0.002
311958.cif,206,N/A,0.002
461028.cif,228,N/A,0.001
1121873.cif,268,N/A,0.001
1804269.cif,228,N/A,0.001
1148609.cif,180,N/A,0.001
1818640.cif,228,N/A,0.001
1008239.cif,212,N/A,0.001
300841.cif,332,N/A,0.002
1010476.cif,206,N/A,0.002
1731191.cif,429,N/A,0.002
1602229.cif,466,N/A,0.004
1944659.cif,206,N/A,0.002
1433070.cif,160,N/A,0.001
548492.cif,212,N/A,0.001
1941709.cif,495,N/A,0.002
1120589.cif,284,N/A,0.002
1013631.cif,212,N/A,0.001
535337.cif,316,N/A,0.001
1729090.cif,266,N/A,0.002
1709340.cif,413,N/A,0.002
535323.cif,228,N/A,0.001
461000.cif,212,N/A,0.001
1804255.cif,152,N/A,0.001
1013625.cif,482,N/A,0.003
1956507.cif,194,N/A,0.002
548486.cif,212,N/A,0.001
1232121.cif,233,N/A,0.002
1907748.cif,399,N/A,0.003
1023080.cif,175,N/A,0.002
1008205.cif,356,N/A,0.002
1638176.cif,316,N/A,0.001
536819.cif,206,N/A,0.002
1818697.cif,211,N/A,0.002
459560.cif,228,N/A,0.001
1013802.cif,212,N/A,0.001
1022361.cif,233,N/A,0.001
1234587.cif,175,N/A,0.002
300672.cif,212,N/A,0.001
555366.cif,228,N/A,0.001
1211049.cif,183,N/A,0.001
459548.cif,228,N/A,0.001
1048190.cif,228,N/A,0.001
1818873.cif,402,N/A,0.002
382665.cif,413,N/A,0.002
1411212.cif,330,N/A,0.002
1722106.cif,206,N/A,0.002
536825.cif,206,N/A,0.002
536831.cif,206,N/A,0.002
1826989.cif,402,N/A,0.002
1634764.cif,295,N/A,0.002
535486.cif,212,N/A,0.001
300666.cif,385,N/A,0.002
1010489.cif,206,N/A,0.002
1234593.cif,253,N/A,0.001
1626837.cif,266,N/A,0.002
1503399.cif,228,N/A,0.001
1010106.cif,180,N/A,0.001
1227706.cif,261,N/A,0.002
1228435.cif,206,N/A,0.002
1633584.cif,268,N/A,0.002
301791.cif,178,N/A,0.001
1929847.cif,160,N/A,0.001
1340789.cif,342,N/A,0.002
1151628.cif,128,N/A,0.001
460646.cif,175,N/A,0.002
1000301.cif,272,N/A,0.001
1010112.cif,180,N/A,0.001
1943452.cif,175,N/A,0.002
1227712.cif,261,N/A,0.002
560652.cif,228,N/A,0.001
1234008.cif,228,N/A,0.001
1232479.cif,228,N/A,0.001
1955218.cif,212,N/A,0.001
1013433.cif,233,N/A,0.001
537044.cif,180,N/A,0.001
538377.cif,332,N/A,0.002
548690.cif,212,N/A,0.001
535653.cif,466,N/A,0.003
1007320.cif,183,N/A,0.001
1840173.cif,212,N/A,0.002
535647.cif,466,N/A,0.004
1007334.cif,183,N/A,0.001
548684.cif,212,N/A,0.001
537736.cif,180,N/A,0.001
1901885.cif,316,N/A,0.001
1433500.cif,206,N/A,0.002
1602771.cif,333,N/A,0.002
1717383.cif,210,N/A,0.001
1021318.cif,142,N/A,0.001
1245626.cif,436,N/A,0.003
1129988.cif,228,N/A,0.001
535874.cif,296,N/A,0.002
1840198.cif,160,N/A,0.001
1933610.cif,240,N/A,0.001
535860.cif,296,N/A,0.002
1614852.cif,284,N/A,0.002
1200408.cif,108,N/A,0.001
300458.cif,228,N/A,0.001
1810963.cif,440,N/A,0.002
1621157.cif,284,N/A,0.002
1725443.cif,286,N/A,0.002
559010.cif,296,N/A,0.002
1411038.cif,267,N/A,0.002
1245632.cif,436,N/A,0.003
1233954.cif,199,N/A,0.002
537939.cif,383,N/A,0.003
1929106.cif,482,N/A,0.003
535848.cif,296,N/A,0.002
555164.cif,212,N/A,0.002
1224596.cif,469,N/A,0.003
1407114.cif,344,N/A,0.003
1013396.cif,300,N/A,0.002
1407100.cif,228,N/A,0.001
1830457.cif,206,N/A,0.002
1000498.cif,296,N/A,0.002
300464.cif,228,N/A,0.001
382473.cif,228,N/A,0.001
1640581.cif,272,N/A,0.002
1715423.cif,210,N/A,0.002
1430155.cif,316,N/A,0.002
1228541.cif,323,N/A,0.002
1010072.cif,206,N/A,0.002
301183.cif,199,N/A,0.002
1224409.cif,180,N/A,0.001
1228555.cif,175,N/A,0.002
1011378.cif,333,N/A,0.002
1410291.cif,228,N/A,0.001
1041567.cif,194,N/A,0.002
1803658.cif,206,N/A,0.002
538565.cif,212,N/A,0.001
1232525.cif,212,N/A,0.001
1013547.cif,263,N/A,0.002
1320653.cif,295,N/A,0.002
1234632.cif,296,N/A,0.002
1004985.cif,350,N/A,0.002
1802220.cif,374,N/A,0.002
1831832.cif,317,N/A,0.002
1008167.cif,464,N/A,0.002
1810630.cif,228,N/A,0.001
1008173.cif,253,N/A,0.001
1007240.cif,206,N/A,0.001
1231986.cif,323,N/A,0.002
1005457.cif,296,N/A,0.002
1702177.cif,483,N/A,0.003
1217941.cif,160,N/A,0.002
1041573.cif,194,N/A,0.002
1615392.cif,212,N/A,0.002
552025.cif,212,N/A,0.002
1602836.cif,402,N/A,0.002
1728007.cif,206,N/A,0.002
539684.cif,210,N/A,0.002
559170.cif,228,N/A,0.001
535900.cif,296,N/A,0.002
1716843.cif,175,N/A,0.002
379789.cif,323,N/A,0.003
555038.cif,183,N/A,0.002
459170.cif,296,N/A,0.002
1937502.cif,332,N/A,0.003
559164.cif,228,N/A,0.001
1602822.cif,296,N/A,0.002
1234197.cif,212,N/A,0.002
302475.cif,296,N/A,0.002
1007297.cif,296,N/A,0.002
1407060.cif,284,N/A,0.002
1824542.cif,212,N/A,0.002
1939507.cif,175,N/A,0.002
548727.cif,440,N/A,0.002
1232294.cif,175,N/A,0.002
1804686.cif,199,N/A,0.002
548733.cif,440,N/A,0.002
1605817.cif,180,N/A,0.002
1405663.cif,333,N/A,0.002
535928.cif,296,N/A,0.002
1810195.cif,206,N/A,0.002
1227841.cif,212,N/A,0.001
1227699.cif,228,N/A,0.001
1628985.cif,333,N/A,0.002
314954.cif,212,N/A,0.001
1803300.cif,300,N/A,0.002
1725084.cif,219,N/A,0.002
1824967.cif,228,N/A,0.001
1608102.cif,356,N/A,0.002
1241093.cif,300,N/A,0.002
1021913.cif,233,N/A,0.001
1000705.cif,334,N/A,0.002
458905.cif,212,N/A,0.001
1641502.cif,180,N/A,0.001
537468.cif,332,N/A,0.002
1611335.cif,430,N/A,0.003
1803472.cif,233,N/A,0.001
1121913.cif,268,N/A,0.001
1241087.cif,300,N/A,0.002
1227302.cif,456,N/A,0.002
1945433.cif,414,N/A,0.002
1014764.cif,169,N/A,0.001
535525.cif,160,N/A,0.002
1008365.cif,199,N/A,0.002
314968.cif,212,N/A,0.001
1013745.cif,212,N/A,0.001
1638943.cif,160,N/A,0.001
1716314.cif,483,N/A,0.003
458939.cif,228,N/A,0.001
535243.cif,175,N/A,0.002
1230130.cif,323,N/A,0.002
1818708.cif,413,N/A,0.002
554865.cif,212,N/A,0.001
535257.cif,228,N/A,0.001
1816725.cif,175,N/A,0.002
1802750.cif,212,N/A,0.002
537326.cif,142,N/A,0.001
1612172.cif,212,N/A,0.001
1821837.cif,212,N/A,0.001
459366.cif,212,N/A,0.001
1731032.cif,206,N/A,0.002
1247421.cif,253,N/A,0.002
1406140.cif,212,N/A,0.001
314997.cif,212,N/A,0.001
540623.cif,317,N/A,0.002
1816902.cif,206,N/A,0.002
1406154.cif,212,N/A,0.002
1814873.cif,206,N/A,0.002
459372.cif,212,N/A,0.001
1925304.cif,199,N/A,0.002
1907833.cif,326,N/A,0.002
1407262.cif,382,N/A,0.002
535280.cif,228,N/A,0.001
1240414.cif,206,N/A,0.002
1410078.cif,160,N/A,0.001
1920532.cif,160,N/A,0.001
1214045.cif,228,N/A,0.001
1920526.cif,160,N/A,0.001
1938369.cif,212,N/A,0.001
1214051.cif,228,N/A,0.001
535294.cif,228,N/A,0.001
1826143.cif,323,N/A,0.002
1533879.cif,175,N/A,0.002
1907827.cif,326,N/A,0.002
1406168.cif,212,N/A,0.002
1011184.cif,399,N/A,0.003
535295.cif,228,N/A,0.001
1214050.cif,228,N/A,0.001
1920527.cif,160,N/A,0.001
537482.cif,332,N/A,0.002
551707.cif,332,N/A,0.002
1832889.cif,228,N/A,0.001
1907826.cif,326,N/A,0.002
1230694.cif,346,N/A,0.003
1719783.cif,183,N/A,0.002
1824741.cif,402,N/A,0.002
1407263.cif,382,N/A,0.002
302110.cif,466,N/A,0.003
1907832.cif,326,N/A,0.002
1224187.cif,212,N/A,0.001
1214044.cif,228,N/A,0.001
1920533.cif,160,N/A,0.001
1410079.cif,160,N/A,0.001
1240415.cif,206,N/A,0.002
1322284.cif,228,N/A,0.001
1826630.cif,267,N/A,0.002
535281.cif,228,N/A,0.001
538955.cif,206,N/A,0.002
1816903.cif,206,N/A,0.002
1611485.cif,228,N/A,0.001
1814872.cif,228,N/A,0.001
1406141.cif,212,N/A,0.001
459367.cif,212,N/A,0.001
1040485.cif,228,N/A,0.002
535256.cif,228,N/A,0.001
1008416.cif,300,N/A,0.002
554864.cif,212,N/A,0.001
1818709.cif,413,N/A,0.002
1821836.cif,212,N/A,0.001
537327.cif,142,N/A,0.001
314969.cif,212,N/A,0.001
1228018.cif,206,N/A,0.002
535524.cif,160,N/A,0.001
535242.cif,175,N/A,0.002
1433663.cif,490,N/A,0.003
458938.cif,228,N/A,0.001
1638942.cif,160,N/A,0.001
313960.cif,212,N/A,0.002
554680.cif,142,N/A,0.001
1433893.cif,286,N/A,0.002
1720857.cif,233,N/A,0.001
1803473.cif,233,N/A,0.001
1014765.cif,169,N/A,0.001
1611446.cif,253,N/A,0.002
1945432.cif,414,N/A,0.002
1227303.cif,456,N/A,0.002
1241086.cif,272,N/A,0.001
1000704.cif,334,N/A,0.002
1241092.cif,300,N/A,0.002
1725085.cif,219,N/A,0.002
314955.cif,212,N/A,0.002
1803301.cif,300,N/A,0.002
537469.cif,332,N/A,0.002
1522020.cif,402,N/A,0.002
458904.cif,212,N/A,0.002
535929.cif,296,N/A,0.002
1216323.cif,212,N/A,0.001
1405662.cif,333,N/A,0.002
1605816.cif,180,N/A,0.001
548732.cif,440,N/A,0.002
1232295.cif,175,N/A,0.002
312115.cif,206,N/A,0.002
1628984.cif,333,N/A,0.002
1013591.cif,206,N/A,0.001
1227698.cif,228,N/A,0.001
1810194.cif,206,N/A,0.002
1013585.cif,206,N/A,0.001
1503213.cif,212,N/A,0.002
1234196.cif,210,N/A,0.001
1803842.cif,323,N/A,0.002
548726.cif,440,N/A,0.002
1939506.cif,175,N/A,0.002
1824543.cif,296,N/A,0.002
1007296.cif,296,N/A,0.002
1231950.cif,206,N/A,0.002
1937503.cif,206,N/A,0.002
459171.cif,296,N/A,0.002
1602823.cif,296,N/A,0.002
552030.cif,212,N/A,0.001
559165.cif,228,N/A,0.001
1233809.cif,414,N/A,0.002
1128249.cif,297,N/A,0.002
1825113.cif,323,N/A,0.002
1824219.cif,206,N/A,0.001
559171.cif,228,N/A,0.001
1628774.cif,266,N/A,0.002
1008827.cif,199,N/A,0.002
1602837.cif,402,N/A,0.002
1615393.cif,212,N/A,0.002
1008199.cif,326,N/A,0.003
535901.cif,296,N/A,0.002
1005456.cif,414,N/A,0.002
1007241.cif,206,N/A,0.001
1810631.cif,228,N/A,0.001
1041572.cif,194,N/A,0.002
1217940.cif,160,N/A,0.001
1702176.cif,483,N/A,0.003
538564.cif,212,N/A,0.002
1013546.cif,293,N/A,0.002
1803659.cif,206,N/A,0.002
1959557.cif,233,N/A,0.001
1041566.cif,194,N/A,0.002
1231993.cif,228,N/A,0.001
1710200.cif,317,N/A,0.002
1831833.cif,317,N/A,0.002
1802221.cif,212,N/A,0.001
1004984.cif,206,N/A,0.002
1231763.cif,414,N/A,0.002
1828392.cif,267,N/A,0.002
1410290.cif,228,N/A,0.001
1011379.cif,333,N/A,0.002
301182.cif,199,N/A,0.002
1233606.cif,296,N/A,0.002
1200435.cif,353,N/A,0.003
300465.cif,228,N/A,0.001
1000499.cif,296,N/A,0.002
1023240.cif,323,N/A,0.002
1640580.cif,272,N/A,0.001
1125631.cif,461,N/A,0.002
537938.cif,383,N/A,0.003
1013397.cif,300,N/A,0.002
1407115.cif,344,N/A,0.003
382300.cif,169,N/A,0.001
555165.cif,212,N/A,0.001
535849.cif,296,N/A,0.002
1928557.cif,380,N/A,0.002
1810962.cif,440,N/A,0.002
300459.cif,228,N/A,0.001
554253.cif,323,N/A,0.002
1200409.cif,108,N/A,0.001
535861.cif,296,N/A,0.002
